"Rank","Root Domain","Linking Root Domains","Domain 
"1","www.google.com","13,752,761","100"
"2","www.blogger.com","28,335,327","100"
"3","youtube.com","21,717,125","100"
"4","apple.com","6,310,402","99"
"5","play.google.com","3,749,854","99"
"6","linkedin.com","11,284,588","99"
"7","support.google.com","5,083,667","99"
"8","microsoft.com","5,133,118","99"
"9","en.wikipedia.org","6,811,860","98"
"10","youtu.be","4,910,227","98"
"11","cloudflare.com","6,095,411","98"
"12","wordpress.org","11,555,251","98"
"13","maps.google.com","5,189,929","98"
"14","docs.google.com","3,089,069","98"
"15","mozilla.org","2,275,366","98"
"16","bp.blogspot.com","17,262,202","97"
"17","whatsapp.com","3,072,268","97"
"18","accounts.google.com","2,550,860","97"
"19","adobe.com","2,836,402","97"
"20","europa.eu","2,070,684","97"
"21","drive.google.com","2,272,858","97"
"22","plus.google.com","11,572,161","97"
"23","sites.google.com","2,113,713","97"
"24","googleusercontent.com","2,880,707","97"
"25","amazon.com","4,848,117","96"
"26","istockphoto.com","3,456,202","96"
"27","es.wikipedia.org","939,414","96"
"28","github.com","2,655,853","96"
"29","facebook.com","57,604,231","96"
"30","vk.com","1,727,868","96"
"31","t.me","941,561","96"
"32","uol.com.br","672,562","96"
"33","vimeo.com","3,502,360","96"
"34","dropbox.com","1,063,793","95"
"35","search.google.com","1,294,248","95"
"36","enable-javascript.com","7,757,057","95"
"37","line.me","794,443","95"
"38","feedburner.com","1,785,267","95"
"39","terra.com.br","204,330","95"
"40","google.de","1,129,057","95"
"41","wikimedia.org","1,908,608","95"
"42","bbc.com","859,581","95"
"43","who.int","1,985,682","95"
"44","nytimes.com","2,134,281","95"
"45","gstatic.com","616,180","95"
"46","cnn.com","1,580,029","95"
"47","forbes.com","1,477,452","95"
"48","tools.google.com","1,676,311","95"
"49","medium.com","1,607,635","95"
"50","paypal.com","1,087,460","95"
"51","google.co.jp","654,157","95"
"52","live.com","877,107","95"
"53","developers.google.com","1,072,823","95"
"54","nih.gov","1,355,425","95"
"55","cpanel.net","1,562,532","95"
"56","bbc.co.uk","1,713,877","95"
"57","globo.com","441,481","95"
"58","theguardian.com","1,542,259","95"
"59","creativecommons.org","1,698,420","95"
"60","google.com.br","294,092","95"
"61","reuters.com","901,703","95"
"62","fr.wikipedia.org","625,862","95"
"63","policies.google.com","2,199,501","95"
"64","myspace.com","1,384,840","95"
"65","jimdofree.com","1,704,962","95"
"66","youronlinechoices.com","562,497","95"
"67","files.wordpress.com","7,561,687","95"
"68","news.google.com","759,176","95"
"69","dailymotion.com","1,136,772","95"
"70","google.es","472,023","95"
"71","mail.google.com","495,063","95"
"72","pt.wikipedia.org","411,795","95"
"73","brandbucket.com","11,151,359","95"
"74","w3.org","1,142,662","95"
"75","slideshare.net","1,002,450","95"
